id,English,,Portuguese,,Danish,,German,,Spanish,,French,,Italian,,Dutch,
1107,mucolytic,main part of mucous,mucolítico,agente que destrói ou dissolve a mucina,mukolytmukolytisk,slimopløsende,Mukolytikum,Mittel zur Verflüssigung von Schleim,mucolítico,agente que destruye o disuelve la mucina,mucolytique,relatif à;provoquant la destruction de la muqueuse,mucolitico,agente che dissolve e distrugge,mucolyticum,slijmoplossend middel
1108,mucopurulent,containing mucus and pus,mucopurulento,que contém muco e pus,mucopurulent,blandet af slim og pus,mukopurulent,schleimig,mucopurulento,que contiene moco y pus,muco-purulent,qui contient du mucus et du pus,mucopurulente,che contiene muco e pus,mucopurulent,slijmig en etterig
1109,mucosa,mucose membrane,mucosa,mucosa,mucosa,slimhinde,Mukosa,Schleimhaut,mucosa,mucosa,muqueuse,muqueuse,mucosa,strato di muco,mucosa,slijmvlies
1110,mucus,mucus,muco,mucosidade;pituíta;monco;ranho,mucus,slim,Mucus,Schleim,mucus,moco,mucus,,muco,liquido viscoso che protegge le mucose,mucus,slijm
1111,multidose,multidose,multidose,que encerra muitas doses,multidosering,flerdosering,Mehrfachgabe,-,multidosis,dosis múltiple,,,multidose,varie dosi,multidosis,grote hoeveelheid geneesmiddelen
1112,multiparous,woman who has had 2 or more babies,multípara,que teve vários filhos,multiparær,flergangsfødende,Multipara,mehrgebärend,multípara,que ha parído como mínimo dos hijos,multipare,qui a eu plusieurs enfants,multipara,di femmina che ha partorito più volte,multipara,vrouw die meer dan eens heeft gebaard
1113,multiple,multiple,múltiplo,variado,multipel,mangfoldig,multipel,vielfach,múltiple,de muchas clases;variado,multiple,multiple,multiplo,che interessa varie parti del corpo nello stesso momento,multipel,veelvoudig
1114,muscle relaxant,muscle relaxant,miorrelaxante,que distende os músculos,muskelrelaxantia,muskelafslappende lægemiddel,Muskelrelaxans,Mittel;das eine Muskelentspannung herbeiführt,miorrelajante,relajante muscular,myorelaxant,décontracturant,miolitico,che riduce la tensione dei muscoli,musculair relaxans,middel dat de spieren ontspant
1115,muscular,muscular,muscular,relativo ao músculo;com musculatura bem desenvolvida,muskulær,muskulær,muskulär,die Muskulatur betreffend,muscular,relativo al músculo;que presenta una musculatura bien desarrollada,musculaire,musculaire,muscolare,muscolare,musculair,met betrekking tot de spieren
1116,musculature,muscles,musculatura,sistema muscular do corpo ou das suas partes,muskulatur,muskelbygning,Muskulatur,Muskulatur,musculatura,aparato muscular del cuerpo o de cualquier parte de él,musculature,musculature,muscolatura,muscolatura,musculatuur,spierstelsel
1117,mutagenic,causing genetic mutation,mutagénico,que induz mutações genéticas,mutagen,som ændrer generne,mutagen,Faktor;der Mutationen auslöst,mutágeno,que induce o aumenta las mutaciones genéticas al causar cambios en el DNA,mutagène,capable de provoquer des mutations,mutagenico,che provoca una mutazione nei geni,mutageen,wat verandering teweegbrengt
1118,mutation,mutation,mutação,mudança do material genético,mutation,mutation;ændring i de arvelige anlæg,Mutation,Veränderung des genetischen Materials,mutación,cambio;cambio en el material genético,mutation,1) changement profond - 2) modification du matériel génétique,mutazione,cambiamento,mutatie,sprongsgewijze verandering
1119,mutism,dumbness,mutismo,mudez,mutismus,psykisk betinget stumhed,Mutismus,Stummheit bei intaktem Sprechorgan,mutismo,incapacidad de hablar o negativa para hacerlo,mutismo,mutismo,mutisme,onvermogen om te spreken
1120,myalgia,muscle pain,mialgia,miodinia;dor muscular,myalgi,muskelsmerte,Myalgie,Muskelschmerz,mialgia,dolor en un músculo o músculos,myalgie,douleur musculaire,mialgia,dolore muscolare,myalgie,spierpijn
1121,myasthenia,muscle weakness,miastenia,falta de força;fraqueza muscular,amyosteni,muskelsvaghed,Myasthenie,krankhafte Muskelschwäche,miastenia,debilidad o fatiga musculares anormales,miastenia,stanchezza muscolare,myasthenie,spierzwakte
1122,mycobacterium,bacteria,micobactéria,micobactéria,mykobakterium,bakterieart med ægte forgreninger,Mykobakterie,Gattungsbegriff für Stâbchenbakterien mit Wachshülle,micobacteria,micobacteria,mycobactérie,sorte de bactérie qui peut être pathogène,mycobacterium,tipo di batterio,mycobacterie,zuurvaste staafjesbacterie
1123,mycological,fungus study-related,micológico,relativo à micologia,mycologisk,relateret til læren om svampe,mykologisch,Pilzkunde betreffend,,,mycologique,relatif à l'étude des champignons,micologico,scienza che studia i funghi,mycologisch,met betrekking tot schimmels
1124,mycosis,fungal disease,micose,doença causada por fungos,mycosis,sygdom fremkommet ved infektion med svampe,Mykose,durch Pilze verursachte Krankheit,micosis,enfermedad causada por hongos,mycose,infection causée par des champignons,micosi,qualsiasi malattia provocata da funghi,mycose,door een schimmel veroorzaakte ziekte
1125,mycotic,caused by a fungus,micótico,produzido por fungos,mycotisk,forårsaget af svampe,mykotisch,durch Pilze hervorgerufen,micótico,producido por hongos;relativo a las enfermedades causadas por hongos,mycosiquemycotique,provoqué par des champignons,micotico,causato da funghi,mycotisch,door schimmels veroorzaakt
1126,mydriatic,pupil-dilating drug,midriático,droga que dilata a pupila,mydriatiskmydriatika,pupiludvidende,Mydriatikum,pupillenerweiternde Substanz,midriático,droga que dilata la pupila,mydriatique,qui concerne ou provoque la dilatation de la pupille,midriatico,che dilata la pupilla,mydriaticum,pupilverwijder
1127,myeloma,bone marrow cancer,mieloma,tumor maligno das células da medula do osso;cancro do sangue,myeloma,ondartet svulstform i knoglemarven,Myelom,Geschwulst;die vom Knochenmark ausgeht,mieloma,tumor maligno de la médula ósea,myélome,tumeur généralement cancéreuse de la moelle osseuse,mieloma,tumore maligno del midollo osseo,myeloom,kwaadaardig gezwel van ruggemerg of beenmerg
1128,myelomatosis,bone marrow cancer,mielomatose,cancro da medula do osso;doença de Kahler,myelomatosis,flere ondartede svulstdannelser i knoglemarven,Myelomatose,multiples Myelom,mielomatosis,cáncer de la médula ósea,myélome multiple,muyélome à prolifération cancéreuse,mielomatosi,tumore maligno del midollo osseo multiplo,myelomatose,multipel botaantasting
1129,myelosuppression,stopping bone marrow activity,mielossupressão,inibição da actividade da medula,myelinsuppression,nedsættelse i nervemarvsaktiviteten;medfører reduktion i antallet af de røde og hvide blodplader,Myelosuppression,Knochenmarkshemmung,mielosupresión,supresión de la actividad de la médula ósea,insuffisance médulaire,réduction anormale de l'activité de la moelle osseuse,mielosoppressione,eliminazione dell'attività del midollo osseo,myelosuppressie,remmende werking op het beenmerg
1130,myelotoxic,destructive to bone marrow,mielotóxico,nocivo para a medula do osso,myelotoksisk,ødelæggende for nervemarven,myelotoxisch,knockenmarksschädigend,mielotóxico,que es nocivo para la médula ósea,myélotoxique,toxique pour la moelle osseuse,mielotossico,che distrugge il midollo osseo,myelotoxisch,giftig voor het beenmerg
1131,myocarditis,heart inflammation,miocardite,inflamação do miocárdio,myocarditis,hjertemuskelbetændelse;forandringer i hjertets muskelvæv af infektiøs;toksisk eller ukendt årsag,Myokarditis,Entzündung des Herzmuskels,miocarditis,inflamación del miocardio,myocardite,inflammation du muscle cardiaque,miocardite,infiammazione del miocardio,myocarditis,ontsteking van de hartspier
1132,myopathy,muscle diease,miopatia,qualquer doença muscular,myopati,muskellidelse,Myopathie,entzündliche Muskelerkrankung,miopatía,enfermedad muscular,myopathie,myopathie;dystrophie musculaire,miopatia,qualsiasi malattia muscolare,myopathie,spierziekte
1133,myopia,short-sightedness,miopia,hipometropia;visão curta;vista-curta,myopi,nærsynethed,Myopie,Kurzsichtigkeit,miopía,vista corta,myopie,myopie,miopia,miopia,myopie,bijziendheid
1134,myositis,muscle inflammation,miosite,miíte;inflamação de um músculo voluntário,myositis,muskelinfiltration,Myositis,Entzündung des Bindegewebes im Muskel,miositis,inflamación de un músculo voluntario,myosite,inflammation du tissu musculaire,miosite,infiammazione di un muscolo volontario,myositis,spierontsteking
1135,nadir,low point,nadir,o ponto mais baixo,nadir,lavpunkt,,Tiefstand,nadir,el punto más bajo,nadir,contr. zénith,nadir,il punto più basso,nadir,voetpunt
1136,narcotic,morphine-like drug,narcótico,sonífero;agente que produz insensibilidade;estupor ou anestesia,narcotikanarkotisk,bedøvende,narkotisch,betäubend,narcótico,agente que produce insensibilidad;estupor o anestesia,narcotique,qui provoque une anesthésie générale,narcotico,narcotico,narcoticum,verdovend middel
1137,nasal,nose-related,nasal,relativo ao nariz,nasal,næse-,nasal,zur Nase gehörend,nasal,relativo a la nariz,nasal,du nez,nasale,nasale,nasaal,met betrekking tot de neus
1138,nasolacrimal,nose and tear duct related,nasolacrimal,relativo ao nariz e ao aparelho lacrimal,nasolacrimal,næse- og tåre-,nasolakrimal,zur Nase und zum Tränenapparat gehörend,nasolacrimal,relativo a la nariz y al aparato lagrimal ),rhinolacrymal,relatif au nez et aux glandes lacrymales,nasolacrimale,relativo al naso ed all'apparato lacrimale,nasolacrimaal,met betrekking tot neus en tranen
1139,natriuresis,excretion of sodium by kidneys,natriurese,excreção de quantidades anormais de sódio na urina,natriurese,forhøjet natriumudskillelse i urinen,Natriurie,verstärkte Ausscheidung von Natrium im Urin,natriuresis,excreción de cantidades anormales de sodio en la orina,natriurésie,excès de sodium dans les urines,natriuresi,urina con troppo sodio,natriurese,uitscheiding van zouten met de urine
1140,nausea,feeling sick,náusea,vontade de vomitar;enjoo;repugnância;sentimento de repulsão,nausea,kvalme,Nausea,übelkeit,náusea,Ganas de vomitar,nausée,nausée,nausea,nausea,nausea,misselijkheid
1141,necrolysis,gangrene,necrólise,separação e esfoliação do tecido por morte celular,nekrolyse,vævsafskalning efter lokal død,Nekrolyse,Einschmelzung,necrólisis,separación y exfoliación del tejido a causa de muerte celular,nécrolyse,éruption grave dans laquelle la partie superficielle de la peau se décolle,necrolisi,separazione o esfoliazione di tessuti,necrolyse,afsterving van weefsel
1142,necrosis,gangrene,necrose,morte celular;esfacelo;gangrena,nekrose,organismers forandringer efter lokal celle- eller vævsdød,Nekrose,lokaler Gewebstod,necrosis,muerte celular en un organismo vivo,nécrose,destruction d'une cellule;d'un tissu,necrosi,perdita vitale da parte di tessuti,necrose,weefselversterf
1143,negative,negative,negativo,sem resultado;não positivo;abaixo da linha zero,negativ,negativ,negativ,negativ,negativo,sin resultado;no positivo;bajo la línea cero,négatif,négatif,negativo,negativo,negatief,afwezig
1144,neonatal,new baby-related,neonatal,relativo ao primeiro mês de vida,neonatal,nyfødt,neonatal,die Neugeborenenperiode betreffend,neonatal,relativo al primer mes de vida,néonatal,du nouveau-né,neonatale,neonatale,neonataal,met betrekking tot de eerste weken na de geboorte
1145,neoplastic,tumour-related,neoplástico,canceroso;neoplásico,neoplastisk,kræftagtig,neoplastisch,Neubildung von Körpergewebe,neoplásico,relativo a un cáncer,néoplastique,concernant la reconstitution de tissus par opération plastique,neoplastico,che presenta la formazione di nuovi tessuti,neoplastisch,gepaard gaand met nieuwvorming
1146,nephritis,kidney inflammation,nefrite,inflamação do rim,nefritis,nyrebetændelse,Nephritis,Nierenentzündung,nefritis,inflamación del riñón,néphrite,inflammation  du rein,nefrite,malattia renale,nefritis,nierontsteking
1147,nephrolith,kidney stone,nefrólito,cálculo renal;cálculo do rim,nephrolithiasis,nyresten,Nephrolith,Nierenstein,nefrolito,piedra del riñón,néphrolithe,calcul,nefrolito,calcoli nei reni,nefroliet,niersteen
1148,nephropathy,kidney disease,nefropatia,doença renal,nephropati,nyresygdom,Nephropathie,Nierenerkrankung,nefropatía,enfermedad del riñón,néphropathie,affection des reins,nefropatia,malattia renale,nefropathie,nierziekte
1149,nephrotic,kidney disorder-related,nefrótico,relativo a uma doença dos rins ou causado por ela,nephrotisk,angående nyresygdom i al almindelighed,nephrotisch,Nierenkrankheiten betreffend,nefrótico,relativo a una enfermedad del riñón o causado por ella,néphrotique,relatif à une atteinte rénale dégénérative,nefrotico,che riguarda la nefrosi,nefrotisch,met betrekking tot nierziekten
1150,nephrotoxic,destructive to the kidneys,nefrotóxico,tóxico para os rins,nephrotoksisk,ødelæggende for nyrens celler,nephrotoxisch,Nierenzellen schädigend,nefrotóxico,que es tóxico para el riñón,néphrotoxique,toxique pour les reins,nefrotossico,nocivo ai reni,nefrotoxisch,giftig voor de nieren
1151,nervousness,nervousness,nervosidade,nervosismo,nervøsitet,nervøsitet,Nervosität,Nervosität,nerviosismo,excitabilidad e irritabilidad excesivas,nervosité,nervosité,nervosismo,nervosismo,nervositeit,zenuwachtigheid
1152,neural,nerve-related,neural,relativo aos nervos;situado na região da coluna vertebral,neural,nerve-,neural,eine Nerv;bzw. das Nervensystem betreffend,neural,relativo a los nervios;situado en la región de la columna vertebral,neural,qui se rapporte au système nerveux,neurale,relativo ai nervi,neuraal,met betrekking tot de zenuwen
1153,neuralgia,neuralgia,neuralgia,nevralgia;dor viva que se sente no trajecto dos nervos,neuralgi,nervegigt,Neuralgie,Nervenschmerz,neuralgia,dolor en el trayecto de los nervios,névralgie,névralgie,nevralgia,dolore a causa di una lesione ad uno o più nervi,neuralgie,zenuwpijn
